"","yrswork","numjobs","ab5cconscientiousness","ab5cintellect","cttindustriousness","mpqwellbeing","mpqachievement","lifesatisfaction"
"36",34,5,4,4.18181818181818,3.1,1.75,1.83333333333333,5.4
"37",27,6,4.27272727272727,4,3.5,1.58333333333333,1.16666666666667,4
"38",45,10,3.90909090909091,3.18181818181818,2.9,1.08333333333333,1.16666666666667,5.2
"39",55,8,4.63636363636364,3.6,4,1.27272727272727,1.08333333333333,4.2
"40",26,4,4.09090909090909,3.45454545454545,3.2,1,1.08333333333333,6.2
"41",30,20,4.09090909090909,3.63636363636364,3.2,1,1.25,4.8
"42",30,4,3.36363636363636,3.63636363636364,2.6,1.08333333333333,1.5,5.2
"43",38,2,3.72727272727273,4,3.2,1.08333333333333,1.16666666666667,5.6
"44",40,15,3.45454545454545,2.90909090909091,2.5,1.66666666666667,1.58333333333333,3
"45",32,9,4.63636363636364,2.72727272727273,3.2,1.41666666666667,1.58333333333333,5.2
"46",37,13,3.81818181818182,3.81818181818182,4,1,1,5.4
"47",6,6,4.54545454545455,3.90909090909091,4,1.33333333333333,1.08333333333333,4.2
"48",20,10,4.09090909090909,4.72727272727273,3.3,1.41666666666667,1,5.4
"49",0,1,3.81818181818182,3.63636363636364,2.5,1.41666666666667,1.5,4.6
"50",31,11,4.45454545454545,3.81818181818182,3.3,1.08333333333333,1.5,6
"51",60,5,4,3.36363636363636,3.8,1,1,4
"52",12,3,3.72727272727273,4.72727272727273,3,1.16666666666667,1.75,6.2
"53",10,4,4.27272727272727,2.90909090909091,3,1.16666666666667,1.08333333333333,4.4
"54",42,15,4.54545454545455,3.81818181818182,3.7,1.58333333333333,1.41666666666667,6
"55",28,3,4.63636363636364,4.63636363636364,3.8,1.33333333333333,1.41666666666667,4.8
"56",40,8,4.72727272727273,3.63636363636364,3.8,1.33333333333333,1,2.6
"57",34,4,4.72727272727273,2.90909090909091,4,1.08333333333333,1,6.6
"58",40,2,3.90909090909091,4.36363636363636,3.8,1,1.08333333333333,5.8
"59",22,5,4.18181818181818,3.81818181818182,3.3,1.91666666666667,1.5,2
"60",22,2,4.63636363636364,4.36363636363636,3.3,1.5,1.58333333333333,5.2
"61",28,9,3.18181818181818,3.63636363636364,2.9,1.91666666666667,1.66666666666667,2.4
"62",43,14,3.81818181818182,4.09090909090909,3.6,1.16666666666667,1.08333333333333,3.4
"63",20,5,3.27272727272727,3.72727272727273,2.8,1.25,1.75,4.8
"64",41,8,4.45454545454545,4.63636363636364,3.4,1.08333333333333,1.16666666666667,5.4
"65",46,7,4.63636363636364,3.63636363636364,3.1,1.16666666666667,1.25,4.6
"66",7,4,4,3.45454545454545,3.9,1,1.16666666666667,6.6
"67",29,8,4.18181818181818,3.90909090909091,3.4,1.08333333333333,1.08333333333333,6.2
"68",44,4,3.54545454545455,4.36363636363636,2.7,1,1.33333333333333,6.6
"69",43,4,4.45454545454545,4.27272727272727,3.4,1.25,1.08333333333333,6
"70",40,5,3.72727272727273,3.63636363636364,2.9,1,1.25,4.8
"71",45,75,3.72727272727273,3.09090909090909,3,1,1.08333333333333,2
"72",30,6,4,3,2.6,1.08333333333333,1.41666666666667,5.4
"73",33,7,4.18181818181818,3.81818181818182,3.5,1,1.16666666666667,4.8
"74",55,6,3.09090909090909,2.81818181818182,2.6,1.25,1.16666666666667,3
"75",15,2,4.54545454545455,3.54545454545455,3.4,1,1.08333333333333,6.8
"76",43,1,4.72727272727273,3.54545454545455,3.5,1.08333333333333,1.75,5.4
"77",42,3,4.09090909090909,3.54545454545455,3,1,1.41666666666667,6.4
"78",41,3,4.54545454545455,3.72727272727273,3.7,1.16666666666667,1,6.4
"79",32,10,3.54545454545455,3.45454545454545,3,1.41666666666667,1.41666666666667,3.4
"80",25,3,4.18181818181818,3.90909090909091,3.7,1,1.33333333333333,6
"81",25,1,4.36363636363636,3.90909090909091,4,1.16666666666667,1,3.8
"82",25,10,4.90909090909091,4.18181818181818,4,1,1.25,7
"83",38,1,4.18181818181818,3.45454545454545,3.8,1.41666666666667,1,2
"84",35,1,4.36363636363636,3.45454545454545,3.1,1,1.08333333333333,6.4
"85",0,0,3.09090909090909,3,2.5,1.58333333333333,1.58333333333333,4
"86",40,5,3.72727272727273,4.63636363636364,3,1,1.41666666666667,6.4
"87",50,4,3.36363636363636,3,2.4,1.5,1.66666666666667,4.2
"88",20,10,4.18181818181818,3.63636363636364,2.9,1,1.33333333333333,6
"89",13,5,4.1,2.81818181818182,3,1.33333333333333,1.54545454545455,4.4
"90",45,25,4.81818181818182,3.54545454545455,3.6,1.08333333333333,1.16666666666667,6
"91",31,5,3.90909090909091,3.63636363636364,3,1.66666666666667,1.5,3.8
"92",0,0,3.45454545454545,3.54545454545455,3,1.08333333333333,1.25,6
"93",35,5,4.54545454545455,3.45454545454545,3.4,1.25,1.33333333333333,5
"94",7,4,4.09090909090909,4.18181818181818,3.1,1.83333333333333,1.25,3.8
"95",32,5,3.81818181818182,4.27272727272727,2.5,1.33333333333333,1.66666666666667,5.2
"96",42,3,4.63636363636364,2.63636363636364,3.1,1.08333333333333,1.08333333333333,6
"97",36,10,4.36363636363636,4.63636363636364,3.9,1.08333333333333,1.5,5.2
"98",50,8,4.27272727272727,2.45454545454545,3.3,1.75,1.5,2.6
"99",40,1,4.54545454545455,4.36363636363636,3.5,1.41666666666667,1.25,4.6
"100",38,7,4.27272727272727,4.09090909090909,3.3,1,1.25,5.4
"101",11,2,5,3.72727272727273,3.75,1.16666666666667,1.25,7
"102",25,6,3.63636363636364,3.36363636363636,3.4,1,1.25,4
"103",35,6,4.45454545454545,4.72727272727273,4,1.08333333333333,1.33333333333333,6.4
"104",25,3,3.27272727272727,2.90909090909091,3,1.25,1.16666666666667,5.8
"105",2,2,3.45454545454545,3.36363636363636,2.5,1.16666666666667,1.75,3.4
"106",40,6,3.81818181818182,4.54545454545455,2.9,1.08333333333333,1.66666666666667,6
"107",37,10,3.36363636363636,3.36363636363636,2.8,1.91666666666667,1.33333333333333,3
"108",50,10,3.45454545454545,3.36363636363636,2.9,1.16666666666667,1.16666666666667,4
"109",4,5,3.18181818181818,3.54545454545455,2.3,1.91666666666667,1.91666666666667,3.2
"110",8,3,3.72727272727273,4.09090909090909,3.3,1.41666666666667,1.25,6
"111",30,4,4.45454545454545,3.54545454545455,4,1,1.33333333333333,6.6
"112",40,1,4.45454545454545,3.81818181818182,2.8,1.33333333333333,1,5.6
"113",23,11,3.63636363636364,4.90909090909091,3.6,1.58333333333333,1.27272727272727,3.8
"114",NA,NA,3.1,2.90909090909091,2.55555555555556,1.5,1.33333333333333,4
"115",2,0,4.36363636363636,3.63636363636364,4,1.16666666666667,1.41666666666667,4.2
"116",40,8,4.27272727272727,3.27272727272727,3.6,1.91666666666667,1.08333333333333,1.2
"117",7,1,3.90909090909091,3.63636363636364,2.9,1.75,1.5,4.2
"118",37,5,3.18181818181818,3.45454545454545,3.2,1.33333333333333,1.75,4.8
"119",16,4,4.54545454545455,3.45454545454545,3.9,1.45454545454545,1.33333333333333,1.6
"120",24,8,4.36363636363636,4.81818181818182,4,1,1.16666666666667,3.8
"121",35,2,4.45454545454545,3.90909090909091,3.8,1,1.16666666666667,6.8
"122",50,4,4.54545454545455,4.18181818181818,3.9,1,1.25,6.2
"123",31,5,3.72727272727273,3,2.8,1.41666666666667,1.83333333333333,4.8
"124",37,7,4,4.45454545454545,3.1,1.08333333333333,1.16666666666667,5.6
"125",49,20,4,3.72727272727273,3,1.08333333333333,1.41666666666667,4.4
"126",48,7,4.36363636363636,2.72727272727273,3.2,1.16666666666667,1.16666666666667,6.4
"127",33,1,4,3.27272727272727,3.4,1.5,1.5,6.4
"128",15,10,3.81818181818182,3.54545454545455,2.9,1.16666666666667,1.5,4.2
"129",24,6,4.81818181818182,3.36363636363636,3.6,1.16666666666667,1.25,4.6
"130",3,7,4.81818181818182,4.63636363636364,3.7,1.25,1.16666666666667,5.8
"131",32,3,4.45454545454545,3.36363636363636,3.1,1.75,1.33333333333333,5.6
"132",45,12,4.36363636363636,4.09090909090909,3.4,1.16666666666667,1.5,5.6
"133",40,5,4.90909090909091,4.63636363636364,3.7,1.25,1.25,6
"134",6,7,3,4.81818181818182,3.3,1.25,1.16666666666667,5.8
"135",5,2,4.36363636363636,4.45454545454545,3.3,1,1.16666666666667,3.2
"136",37,4,4.27272727272727,3.54545454545455,4,1.90909090909091,1,1
"137",51,4,3.72727272727273,2.72727272727273,3.3,1.58333333333333,1.83333333333333,4.2
"138",50,11,3.45454545454545,3.81818181818182,2.3,1,1.83333333333333,5.6
"139",9,8,4.54545454545455,4,4,1.58333333333333,1,5
"140",12,4,3.63636363636364,4.72727272727273,3.1,1.58333333333333,1.66666666666667,4.4
"141",47,3,3.45454545454545,4.54545454545455,2.5,1.16666666666667,1.5,4.8
"142",11,5,3.81818181818182,3.72727272727273,2.9,1.16666666666667,1.5,4.2
"143",45,7,3.81818181818182,3.72727272727273,2.5,1.41666666666667,1.58333333333333,4.8
"144",17,2,4.54545454545455,3.63636363636364,3.6,1.16666666666667,1.16666666666667,5.6
"145",5,1,4.18181818181818,2.90909090909091,3.4,1.16666666666667,1.66666666666667,6
"146",37,3,3.09090909090909,2.36363636363636,3.6,1.08333333333333,1.16666666666667,6.2
"147",35,4,4.09090909090909,3.36363636363636,3.9,1.08333333333333,1.16666666666667,4
"148",15,6,4.27272727272727,4.09090909090909,3.2,1.75,1.16666666666667,2.2
"149",39,3,4.54545454545455,3.2,3.6,1,1.18181818181818,5.2
"150",42,2,4.81818181818182,4.18181818181818,3.4,1.08333333333333,1.25,5.8
"151",16,1,4.18181818181818,4,3.22222222222222,1.33333333333333,1.16666666666667,4.6
"152",27,5,4.09090909090909,3.90909090909091,3,1,1.33333333333333,4.8
"153",21,9,4.18181818181818,4.27272727272727,3.6,1.25,1.75,5.4
"154",30,8,4.36363636363636,3.63636363636364,3.5,1,1.25,6
"155",35,3,3,3,4,1.83333333333333,1.66666666666667,4
"156",25,5,4.09090909090909,3.18181818181818,3,1.16666666666667,1.58333333333333,6.4
"157",25,8,3.90909090909091,3.72727272727273,3.3,1.66666666666667,1.66666666666667,2.2
"158",42,7,4.45454545454545,2.90909090909091,3.7,1.25,1.16666666666667,6
"159",42,4,4.81818181818182,3.27272727272727,3.7,1.16666666666667,1,6.2
"160",41,8,4.09090909090909,4.09090909090909,3.6,1,1,5
"161",35,5,3.36363636363636,2.90909090909091,3.2,1.41666666666667,1,5.2
"162",45,10,4.18181818181818,2.90909090909091,2.5,1.58333333333333,1.66666666666667,4.2
"163",21,9,3.72727272727273,4.54545454545455,3,1.25,1.5,5.8
"164",18,1,4.45454545454545,1.63636363636364,3.5,1.25,1.08333333333333,6
"165",50,6,4.09090909090909,3.27272727272727,3,1.08333333333333,1.18181818181818,6.2
"166",45,3,4.81818181818182,4.36363636363636,4,1.16666666666667,1,4.4
"167",20,5,3.90909090909091,3.72727272727273,3.2,1.41666666666667,1.75,5.2
"168",46,11,3.27272727272727,4.72727272727273,3.6,1.75,1.16666666666667,1.2
"169",25,1,4.90909090909091,3.27272727272727,3.8,1.16666666666667,1.16666666666667,6
"170",40,5,3.18181818181818,2.45454545454545,2.9,1.41666666666667,1.58333333333333,3.6
"171",16,0,4.18181818181818,3.45454545454545,2.9,1.41666666666667,1.91666666666667,6.8
"172",6,5,4.54545454545455,4.27272727272727,3.7,1,1.33333333333333,5
"173",35,15,4.18181818181818,3.90909090909091,3.2,1,1.16666666666667,5.2
"174",37,8,3.45454545454545,4.27272727272727,2.9,1.66666666666667,1.41666666666667,5.2
"175",53,14,3.18181818181818,3.27272727272727,3,1,1.41666666666667,5.75
"176",42,4,3.81818181818182,4,3.1,1.33333333333333,1.16666666666667,5.6
"177",37,10,3.36363636363636,4.09090909090909,2.9,1.75,1.5,1
"178",42,15,4.54545454545455,2.90909090909091,3.3,1,1.08333333333333,5.2
"179",59,4,4.36363636363636,3.27272727272727,4,1.25,1.16666666666667,5.8
"180",44,4,3.54545454545455,4.1,2.9,1.08333333333333,1.75,1.2
"181",36,12,3.81818181818182,4.54545454545455,3,1.58333333333333,1.16666666666667,1
"182",25,1,4.63636363636364,4.81818181818182,3.7,1.08333333333333,1.16666666666667,6.4
"183",25,7,4.63636363636364,4.09090909090909,3.7,1.41666666666667,1.08333333333333,6
"184",37,2,4,2.63636363636364,3,1.16666666666667,1.75,5.6
"185",13,3,3,3,2.4,1,1.25,4
"186",41,8,4.81818181818182,4.81818181818182,3.9,1.08333333333333,1.25,6.8
"187",25,8,2.8,2.9,2.5,1.83333333333333,1.58333333333333,1
"188",27,6,3.27272727272727,2.63636363636364,2.77777777777778,1.54545454545455,1.41666666666667,5
"189",26,3,4.18181818181818,4,3,1,1.33333333333333,6
"190",11,4,4.63636363636364,3.27272727272727,2.7,1.18181818181818,1.66666666666667,5
"191",34,6,3.63636363636364,3.81818181818182,3.1,1.25,1.16666666666667,4.8
"192",20,8,4.63636363636364,4.27272727272727,3.4,1.41666666666667,1.33333333333333,5
"193",45,3,3.90909090909091,3.63636363636364,3.7,1,1,5
"194",40,1,3.27272727272727,4.18181818181818,2.9,1,1.33333333333333,4.2
"195",12,20,3.45454545454545,3.72727272727273,2.3,1.58333333333333,1.75,3.4
"196",3,2,4.36363636363636,3.90909090909091,4,1.66666666666667,1.08333333333333,2
"197",31,3,4.36363636363636,3.81818181818182,3.3,1.16666666666667,1.25,6
"198",43,5,3.54545454545455,3.45454545454545,2.4,1.75,1.91666666666667,2.8
"199",15,1,4.45454545454545,4.18181818181818,3.5,1.33333333333333,1.16666666666667,2.2
"200",55,2,4,2.72727272727273,3.7,1.41666666666667,1.08333333333333,5
"201",15,6,3.45454545454545,4.27272727272727,3.1,1.66666666666667,1.5,3.8
"202",25,3,4.72727272727273,4.18181818181818,3.7,1.08333333333333,1.25,6.8
"203",0,0,4,3.45454545454545,2.5,1.5,1.41666666666667,4
"204",10,3,4.54545454545455,3.36363636363636,3.7,1,1.5,5.8
"205",60,2,3.54545454545455,3,2.6,1.08333333333333,1.58333333333333,5.6
"206",6,5,3.90909090909091,4.18181818181818,3.11111111111111,1.41666666666667,1.58333333333333,6
"207",12,4,2.90909090909091,4.36363636363636,3.5,1,1,5.6
"208",45,8,3.09090909090909,3.72727272727273,3.5,1,1.91666666666667,6.6
"209",28,5,4.54545454545455,3.81818181818182,3.8,1,1.16666666666667,5
"210",25,4,4,2.90909090909091,2.8,1.08333333333333,1.58333333333333,5.4
"211",13,4,3.54545454545455,4.63636363636364,2.7,1.16666666666667,1.75,3.6
"212",40,10,3.18181818181818,3.27272727272727,2.5,1,1.16666666666667,4
"213",6,5,4,4.63636363636364,2.9,1.58333333333333,1.58333333333333,5.6
"214",36,3,3.72727272727273,4.18181818181818,3.4,1.08333333333333,1.16666666666667,5.8
"215",60,8,4.54545454545455,3.81818181818182,3.4,1,1.08333333333333,6
"216",36,5,3.27272727272727,2.90909090909091,2.9,1.58333333333333,1.75,4.8
"217",6,3,3.45454545454545,3.72727272727273,2.5,1.25,1.41666666666667,4
"218",31,5,2.90909090909091,3.81818181818182,2.4,1.5,1.16666666666667,1.2
"219",34,4,3.09090909090909,3.90909090909091,3.7,1,1.41666666666667,4.6
"220",38,9,4.36363636363636,4.18181818181818,3.4,1,1.16666666666667,5.6
"221",3,1,3,2.72727272727273,2.3,1.5,1.33333333333333,6
"222",31,3,3.27272727272727,4.36363636363636,3,1.33333333333333,1.75,5.6
"223",41,10,4.36363636363636,4.45454545454545,4,1,1,6.6
"224",30,11,3.54545454545455,4.09090909090909,2.8,1.91666666666667,1.58333333333333,1.8
"225",2,2,4.18181818181818,4,3.1,1.33333333333333,1.75,6.6
"226",40,8,4.36363636363636,3.45454545454545,3.6,1,1.16666666666667,2.2
"227",15,2,3.72727272727273,3.27272727272727,2.4,1,1.91666666666667,6
"228",15,7,4.09090909090909,4.27272727272727,3.7,1.08333333333333,1.16666666666667,6
"229",10,1,3.63636363636364,2.54545454545455,3.1,1,1.5,6
"230",60,12,4.09090909090909,4.18181818181818,3.2,1.08333333333333,1.33333333333333,5
"231",3,4,3.36363636363636,3.09090909090909,2.9,1.58333333333333,1.45454545454545,3
"232",11,6,3.54545454545455,4.27272727272727,3,1.08333333333333,1.18181818181818,4.8
"233",43,5,3.81818181818182,3.45454545454545,3.3,1,1.16666666666667,5.8
"234",35,10,3.63636363636364,3.09090909090909,2.8,1.58333333333333,1.83333333333333,5
"235",5,4,3.54545454545455,3.81818181818182,2.8,1.33333333333333,1.33333333333333,4.6
"236",27,2,4.36363636363636,2.81818181818182,3.2,1,1.5,6.6
"237",30,3,4,2.54545454545455,3.9,1.08333333333333,1.33333333333333,6
"238",25,6,4.4,4.6,3.2,1.08333333333333,1.25,3.8
"239",28,6,3.54545454545455,4.18181818181818,2.5,1.58333333333333,1.5,2.4
"240",12,3,4.54545454545455,3.54545454545455,3.6,1.66666666666667,1,5
"241",31,7,3.72727272727273,4.45454545454545,3.5,1.08333333333333,1.75,5.6
"242",40,8,3,4.45454545454545,2.4,1.16666666666667,1.83333333333333,5.4
"243",46,7,3.27272727272727,2.72727272727273,2,1.75,2,3.8
"244",23,16,3.36363636363636,3,2.4,1.83333333333333,1.75,2
"245",30,8,4.6,3.36363636363636,3.2,1.58333333333333,1.83333333333333,5.8
"246",6,6,3.36363636363636,2.90909090909091,2.7,1.08333333333333,1.25,4.8
"247",25,6,4.45454545454545,3.27272727272727,3.1,1,1.16666666666667,5.2
"248",12,5,3.54545454545455,3.45454545454545,3,1.25,1.41666666666667,5.4
"249",40,7,4.36363636363636,2.72727272727273,3.3,1.16666666666667,1.41666666666667,5.2
"250",16,6,3.27272727272727,4.27272727272727,3,1.66666666666667,1.5,5.6
"251",0,0,3.72727272727273,3.90909090909091,2.5,1.25,1.33333333333333,6
"252",27,3,4.18181818181818,3,3.2,1.16666666666667,1.25,5.6
"253",52,12,4.90909090909091,4.18181818181818,3.9,1.08333333333333,1.08333333333333,4.8
"254",25,2,4.18181818181818,3.54545454545455,3.7,1,1.08333333333333,4.2
"255",53,7,3.36363636363636,4.09090909090909,2.8,1.33333333333333,2,5.8
"256",6,0,3.90909090909091,3.81818181818182,2,1,1.33333333333333,6
"257",40,14,3.36363636363636,4.09090909090909,2.8,1,1.5,4.4
"258",38,2,3.54545454545455,3.18181818181818,3.1,1.16666666666667,1.83333333333333,6.4
"259",11,4,4.72727272727273,4.54545454545455,4,1.16666666666667,1,5.8
"260",6,7,4.81818181818182,3.54545454545455,3.9,1,1.08333333333333,6.2
"261",45,11,4.36363636363636,4.45454545454545,4,1,1.5,5.4
"262",25,15,3.36363636363636,4.27272727272727,3.1,1.08333333333333,1.66666666666667,3.2
"263",40,6,3.45454545454545,3.36363636363636,2.9,1.08333333333333,1.41666666666667,3.8
"264",16,6,4.27272727272727,3.90909090909091,3.9,1.58333333333333,1.16666666666667,4.6
"265",4,3,2.72727272727273,3.72727272727273,2.5,1.33333333333333,1.81818181818182,5.4
"266",51,8,4.27272727272727,4.36363636363636,3.7,1.41666666666667,1.75,6.6
"267",37,3,4.27272727272727,3.27272727272727,3.3,1,1.16666666666667,4.2
"268",40,4,4.72727272727273,3.45454545454545,3.4,1.25,1.41666666666667,4.4
"269",11,6,4.54545454545455,3.72727272727273,4,1,1.08333333333333,5
"270",37,10,3.63636363636364,3.81818181818182,3.5,1.08333333333333,1.25,4.4
"271",39,12,4,4.09090909090909,2.88888888888889,1.5,1.83333333333333,4
"272",55,8,4.72727272727273,3.63636363636364,3.9,1,1.08333333333333,7
"273",17,6,3.90909090909091,4.45454545454545,3,1.75,1.5,3.2
"274",24,5,3.90909090909091,3.45454545454545,3.5,1.41666666666667,1.5,5.8
"275",32,3,3.81818181818182,4.09090909090909,3.2,1.33333333333333,1.41666666666667,6.8
"276",34,5,4.36363636363636,4.45454545454545,3.3,1.08333333333333,1,5
"277",32,1,3.18181818181818,3,2.88888888888889,1.33333333333333,1.75,4.6
"278",32,12,3.54545454545455,4.18181818181818,3.4,1.08333333333333,1.08333333333333,5.6
"279",37,8,4.45454545454545,4.18181818181818,3.4,1.5,1.58333333333333,5.6
"280",9,6,4,3.18181818181818,1.6,1.16666666666667,1.91666666666667,4.4
"281",32,24,4,4.09090909090909,3.1,1,1.41666666666667,4.4
"282",40,1,4.09090909090909,4,2.9,1.25,1,4.8
"283",36,10,4,3.90909090909091,3.6,1.25,1.66666666666667,5.2
"284",24,8,4.18181818181818,4.09090909090909,3.3,1.5,1.16666666666667,3.8
"285",45,25,3.27272727272727,4,3.1,1.08333333333333,1.16666666666667,3.4
"286",40,16,4.54545454545455,4.27272727272727,3.7,1.25,1.16666666666667,4.4
"287",40,4,3.63636363636364,3.63636363636364,3.3,1.63636363636364,1.41666666666667,1
"288",12,1,4.72727272727273,4.18181818181818,4,1.08333333333333,1,5.8
"289",20,4,3.36363636363636,2.72727272727273,3.8,1.83333333333333,1.66666666666667,4
"290",24,8,3.72727272727273,3.72727272727273,3.4,1.5,1.08333333333333,5
"291",40,2,4.27272727272727,3.18181818181818,2.9,1.25,1.16666666666667,3.6
"292",37,3,4.45454545454545,4.36363636363636,3.4,1.08333333333333,1.5,6.2
"293",2,4,3.63636363636364,3.81818181818182,3.2,1.08333333333333,1.25,4.2
"294",46,6,2.90909090909091,4,2,1.83333333333333,1.83333333333333,2.8
"295",35,6,3.81818181818182,2.81818181818182,2.3,1.41666666666667,1.66666666666667,4.6
"296",35,2,3.27272727272727,3.36363636363636,2.7,1.08333333333333,1.91666666666667,6.2
"297",43,6,4.72727272727273,4.36363636363636,3.9,1.16666666666667,1.41666666666667,6
"298",15,8,3.2,2.9,2.5,1.25,1.41666666666667,4
"299",43,6,4,4.09090909090909,3.1,1.66666666666667,1.25,3
"300",20,10,3.27272727272727,3.90909090909091,3,1.25,1.83333333333333,4
"301",48,4,3.36363636363636,3,2.9,1,1.25,5
"302",32,15,4.54545454545455,4.27272727272727,3.6,1.08333333333333,1.33333333333333,4
"303",41,10,2.63636363636364,4.54545454545455,3.4,1.08333333333333,1.16666666666667,4
"304",7,4,4.18181818181818,3.63636363636364,3,1.33333333333333,1.5,5.4
"305",50,6,3.3,4,3.1,1,1.41666666666667,6
"306",0,0,3.09090909090909,3.09090909090909,2.5,1.66666666666667,1.83333333333333,4
"307",43,5,4.54545454545455,4.45454545454545,3.5,1,1.08333333333333,6
"308",20,3,4,3.27272727272727,2.7,1.18181818181818,1.4,5.2
"309",32,2,4.45454545454545,2.81818181818182,4,1.5,1.08333333333333,2.8
"310",13,10,4.36363636363636,4.81818181818182,3.3,1,1.25,6.2
"311",24,12,3.72727272727273,4.27272727272727,2.8,1.25,1.5,5.6
"312",47,15,4.54545454545455,4.63636363636364,3.7,1.58333333333333,1.33333333333333,4.6
"313",42,7,4,3.36363636363636,3.3,1.08333333333333,1.16666666666667,7
"314",14,3,4.09090909090909,2.81818181818182,3.6,1,1.5,5.4
"315",0,2,4.81818181818182,3.54545454545455,3.5,1.16666666666667,1.25,6
"316",44,5,4.45454545454545,3.54545454545455,3.4,1.33333333333333,1.25,6.4
"317",29,4,4.09090909090909,4.72727272727273,3.6,1,1,5.8
"318",32,2,4.27272727272727,4.09090909090909,3.1,1,1.25,6
"319",1,3,3.72727272727273,3.63636363636364,2.8,1.08333333333333,1.16666666666667,6
"320",6,3,3.63636363636364,3.63636363636364,2.8,1.33333333333333,1.5,6
"321",32,10,3.72727272727273,3.54545454545455,3.1,1.08333333333333,1,5.8
"322",27,4,4.09090909090909,2.90909090909091,3.1,1.16666666666667,1.58333333333333,2.8
"323",35,9,3,2.81818181818182,2.8,1.91666666666667,1.58333333333333,3.2
"324",21,2,2.63636363636364,3.09090909090909,2.3,2,1.83333333333333,1.2
"325",47,11,4,4.27272727272727,3.3,1.08333333333333,1.33333333333333,6.8
"326",33,7,4.63636363636364,3.81818181818182,3.4,1.08333333333333,1.08333333333333,5.2
"327",30,3,4.81818181818182,4.09090909090909,3.8,1.83333333333333,1.08333333333333,1.4
"328",40,3,4.36363636363636,3.36363636363636,3.6,1.25,1.33333333333333,4
"329",15,2,4.81818181818182,4,3.1,1.08333333333333,1.25,4.6
"330",55,25,3.63636363636364,2.72727272727273,2.77777777777778,1.41666666666667,1.5,4.2
"331",20,5,3.27272727272727,2.81818181818182,2.8,1.5,1.33333333333333,3.6
"332",33,6,3.63636363636364,3.63636363636364,2.7,1.5,1.58333333333333,5.8
"333",54,8,4.45454545454545,3.27272727272727,3.3,1.25,1.5,4.8
"334",45,17,4.27272727272727,4.09090909090909,3.6,1.08333333333333,1.25,2.8
"335",24,4,4.09090909090909,3.81818181818182,3,1.16666666666667,1.33333333333333,6.4
"336",21,11,4.72727272727273,4.72727272727273,3.6,1.25,1.08333333333333,4.2
